account_number,customer_id,account_type,open_date,balance,updated_at
A101,C2001,checking,01-01-2024,8976.71,26-05-2026
A102,C2002,checking,31-01-2024,7935.16,24-05-2026
A103,C2003,checking,01-03-2024,7921.01,26-05-2026
A104,C2004,savings,31-03-2024,5062.36,27-05-2026
A105,C2005,savings,30-04-2024,4199.41,28-05-2026
A106,C2006,checking,30-05-2024,4073.1,20-05-2026
A107,C2007,savings,29-06-2024,7708.81,20-05-2026
A108,C2008,current,29-07-2024,4749.7,20-05-2026
A109,C2009,checking,28-08-2024,2392.65,20-05-2026
A110,C2010,checking,27-09-2024,7942.43,20-05-2026
